Column,Data_Source_Type,Description
Incident_ID,Synthetic,"Unique ID, format EGv2-<year>-<seq>."
District,Official (Delhi) / Synthetic unit (others),"Real Delhi district name, or state/UT name for non-Delhi units."
State,Official,Real Indian State/UT name.
Year/Month/Quarter/Week,Synthetic/Derived,Sampled with documented seasonality; Quarter/Week derived from date.
Crime_Category / Sub_Category,Synthetic,Weighted sample; Delhi districts apply a documented category_boost multiplier from DELHI_DISTRICT_PROFILE.
Complaint_Channel,Synthetic,Weighted categorical sample.
Population,"Official (Delhi, Census 2011) / N/A elsewhere",Never fabricated.
Crime_Count_District,"Official (2021-23) / Derived (2024-26, Delhi split)",Unit-year total this row's sample represents.
Crime_Rate_100k,Derived,"= Crime_Count_District / Population * 100,000."
Trend_Last_3_Years,Derived,Rolling 3-yr mean of Crime_Count_District.
Growth_Rate,Derived,YoY % change of Crime_Count_District.
Historical_Growth,Derived,Expanding mean of prior years' Growth_Rate.
Expected_Growth,Derived,Naive persistence forecast = last year's Growth_Rate.
Risk_Index,Derived (documented formula),"0.5*rate_norm + 0.3*max(growth,0) + 0.2*neighbor_norm (neighbor now from REAL adjacency), clipped [0,1]."
Risk_Percentile / Risk_Rank,Derived,Percentile rank / rank of Risk_Index within its Year.
Trend_Score,Derived,Min-max normalised Trend_Last_3_Years within Year.
Anomaly_Score,Derived,|z-score| of Growth_Rate within the unit's own time series.
Latitude/Longitude,Synthetic (real-polygon-constrained),Rejection-sampled inside a real polygon - see Coordinate_Type.
Coordinate_Type,Label,Polygon / Polygon_Approximate / Polygon_Clipped_Estimate - see metadata_v2.json.
Urban_Rural,Synthetic heuristic,Delhi + IT-hub states biased Urban.
Nearby_Hotspot_Score,Derived,Alias of Risk_Index.
Financial_Loss,Synthetic,"Log-normal, festival-month mean bump, capped 50L, 4% MAR missing."
Victim_Age_Group / Victim_Gender,Synthetic,"Weighted categorical, 3% MAR missing on age."
Time_of_Day / Day_of_Week,Derived,From sampled hour / Incident_Date.
Is_Weekend / Is_Office_Hour / Is_Night / Is_Festival_Month,Derived/Synthetic,Boolean flags from the date/hour sampling model; Is_Office_Hour probability scaled by each Delhi district's documented office_hour_bias.
Reporting_Delay,Synthetic,Gamma distribution.
Resolved,Synthetic,"Bernoulli, decreasing with reporting delay."
Response_Time,Synthetic,"Gamma distribution, capped 30 days."
Police_Station_ID / Administrative_Code,Synthetic placeholder,Not real codes.
Neighbor_District_Risk,Derived (real adjacency),"Mean Crime_Count_District of GEOMETRICALLY adjacent units (polygon .touches()/.intersects()), same year."
Spatial_Lag,Derived (real adjacency),"Mean Crime_Rate_100k of geometrically adjacent units, same year (spatial econometrics convention)."
Local_Moran_I_Proxy,Derived (documented simplification),"z_i * mean(z_j for j adjacent), z = standardised Crime_Rate_100k/Count. A simplified proxy, not the full Moran's I statistic (no global spatial weight normalisation applied)."
Cluster_ID,"Derived (KMeans, k=8)",Delhi rows only (coordinates meaningful there); -1 elsewhere (coarse state polygons make sub-state clustering not meaningful).
Distance_to_District_HQ_km,Derived,"Haversine distance from incident point to the unit's polygon centroid (a proxy HQ location, NOT an official HQ coordinate)."
Distance_to_Nearest_Police_Station_km,Synthetic placeholder,Gamma-distributed; no real police station coordinate list was sourced.
Urban_Density_Proxy,Official (Delhi only) / N/A,Real Census 2011 population density for Delhi districts; null elsewhere.
Commercial_Density_Proxy,Synthetic (documented),Delhi: DELHI_DISTRICT_PROFILE commercial_activity. Elsewhere: coarse heuristic from Digital_Adoption_Tier x Urban_Rural.
Digital_Adoption_Tier,"Derived (qualitative, capped)",high/mid/low tier from cross-referenced secondary sources - see DIGITAL_ADOPTION_SOURCE_NOTE. NOT an official TRAI table.
Source_Confidence,Derived,"0.9 if unit-year total is Official, else 0.55."
Data_Source,Label,Always Synthetic_Record_From_Official_Distribution.
Aggregate_Basis,Label,Official or Derived - describes the unit-year TOTAL.
Sample_Weight / Official_Unit_Year_Total,Derived/Official,Weight reconstructing the official/derived total exactly when summed.
Incident_Date,Synthetic,"ISO date, always <= 2026-07-16."
